"Picked","RadiusAverageRMS","AxisRatio","Compactness","TotalArea"
"False",0.184,0.87,0.885,0.099
"False",0.149,0.782,0.865,0.064
"False",0.109,0.312,0.487,0.031
"False",0.202,0.857,0.865,0.119
"False",0.212,0.846,0.884,0.133
"False",0.092,0.703,0.802,0.022
"False",0.095,0.206,0.482,0.018
"False",0.19,0.108,0.224,0.029
"False",0.092,0.205,0.404,0.014
"False",0.226,0.091,0.225,0.049
"False",0.278,0.172,0.466,0.146
"False",0.09,0.35,0.582,0.021
"False",0.137,0.23,0.406,0.04
"False",0.144,0.146,0.304,0.024
"False",0.137,0.221,0.497,0.039
"False",0.221,0.703,0.836,0.143
"False",0.183,0.801,0.871,0.097
"False",0.425,0.142,0.326,0.254
"False",0.178,0.805,0.863,0.092
"False",0.175,0.809,0.858,0.089
"False",0.628,0.081,0.247,0.381
"False",0.111,0.243,0.358,0.029
"False",0.108,0.303,0.456,0.025
"False",0.093,0.509,0.694,0.023
"False",0.085,0.251,0.538,0.015
"False",0.21,0.754,0.848,0.13
"False",0.158,0.725,0.835,0.071
"False",0.219,0.821,0.863,0.143
"False",0.233,0.874,0.872,0.161
"False",0.093,0.22,0.528,0.018
"False",0.084,0.661,0.762,0.018
"False",0.207,0.83,0.863,0.126
"False",0.086,0.732,0.793,0.019
"False",0.15,0.795,0.875,0.065
"False",0.807,0.053,0.191,0.542
"False",0.33,0.223,0.5,0.223
"False",0.085,0.419,0.609,0.017
"False",0.713,0.042,0.142,0.317
"False",0.675,0.058,0.181,0.36
"False",0.246,0.08,0.211,0.055
"False",0.425,0.085,0.21,0.163
"False",0.146,0.214,0.466,0.042
"False",0.101,0.433,0.637,0.026
"False",0.47,0.082,0.184,0.177
"False",0.186,0.11,0.321,0.049
"False",0.135,0.213,0.494,0.041
"False",0.134,0.5,0.703,0.049
"False",0.386,0.138,0.274,0.195
"False",0.144,0.822,0.859,0.059
"False",0.123,0.254,0.446,0.025
"False",0.138,0.235,0.466,0.035
"False",0.186,0.822,0.849,0.101
"False",0.098,0.441,0.726,0.025
"False",0.251,0.159,0.165,0.052
"False",0.168,0.117,0.239,0.029
"False",0.098,0.417,0.658,0.025
"False",0.086,0.243,0.372,0.009
"False",0.11,0.262,0.455,0.022
"False",0.164,0.884,0.844,0.079
"False",0.232,0.828,0.868,0.16
"False",0.107,0.46,0.712,0.029
"False",0.121,0.223,0.425,0.023
"False",0.353,0.091,0.256,0.139
"False",0.321,0.173,0.477,0.215
"False",0.14,0.415,0.625,0.046
"False",0.089,0.652,0.747,0.021
"False",0.573,0.046,0.118,0.164
"False",0.201,0.128,0.417,0.079
"False",0.316,0.195,0.463,0.213
"False",0.146,0.719,0.823,0.061
"False",0.189,0.749,0.845,0.103
"False",0.137,0.126,0.272,0.02
"False",0.168,0.103,0.22,0.025
"False",0.113,0.774,0.842,0.036
"False",0.192,0.1,0.204,0.032
"False",0.243,0.858,0.886,0.176
"False",0.146,0.76,0.844,0.062
"False",0.086,0.657,0.793,0.019
"False",0.084,0.302,0.439,0.015
"False",0.164,0.525,0.755,0.075
"False",0.132,0.576,0.766,0.049
"False",0.153,0.209,0.541,0.055
"False",0.108,0.186,0.302,0.012
"False",0.086,0.243,0.372,0.009
"False",0.09,0.395,0.629,0.018
"False",0.085,0.259,0.55,0.016
"False",0.092,0.339,0.671,0.021
"False",0.123,0.247,0.429,0.026
"False",0.095,0.192,0.44,0.016
"False",0.157,0.202,0.436,0.049
"False",0.197,0.106,0.311,0.047
"False",0.098,0.398,0.696,0.024
"False",0.09,0.341,0.61,0.018
"False",0.154,0.523,0.757,0.065
"False",0.177,0.461,0.699,0.081
"False",0.182,0.845,0.864,0.096
"False",0.084,0.656,0.795,0.018
"False",0.201,0.809,0.859,0.119
"False",0.279,0.204,0.331,0.196
"False",0.178,0.839,0.863,0.092
"False",0.728,0.075,0.1,0.476
"False",0.095,0.488,0.651,0.022
"False",0.099,0.596,0.77,0.027
"False",0.097,0.675,0.82,0.025
"False",0.137,0.632,0.765,0.054
"False",0.182,0.858,0.864,0.098
"False",0.187,0.741,0.849,0.101
"False",0.262,0.207,0.474,0.129
"False",0.319,0.172,0.482,0.209
"False",0.246,0.206,0.492,0.122
"False",0.345,0.142,0.393,0.219
"False",0.136,0.269,0.575,0.043
"False",0.126,0.358,0.58,0.035
"False",0.165,0.837,0.852,0.079
"False",0.269,0.564,0.722,0.216
"False",0.122,0.247,0.324,0.029
"False",0.203,0.817,0.846,0.121
"False",0.161,0.724,0.827,0.075
"False",0.091,0.387,0.614,0.02
"False",0.193,0.885,0.896,0.109
"False",0.19,0.816,0.871,0.106
"False",0.197,0.841,0.888,0.112
"False",0.138,0.673,0.821,0.054
"False",0.104,0.266,0.563,0.025
"False",0.122,0.652,0.818,0.042
"False",0.096,0.375,0.638,0.022
"False",0.138,0.192,0.44,0.032
"False",0.135,0.327,0.606,0.045
"False",0.144,0.795,0.841,0.06
"False",0.889,0.035,0.152,0.518
"False",0.1,0.697,0.792,0.028
"False",0.097,0.681,0.82,0.025
"False",0.214,0.856,0.855,0.136
"False",0.101,0.419,0.658,0.025
"False",0.092,0.32,0.614,0.02
"False",0.126,0.431,0.632,0.04
"False",0.125,0.159,0.329,0.024
"False",0.222,0.816,0.879,0.144
"False",0.098,0.222,0.428,0.016
"False",0.119,0.716,0.839,0.04
"False",0.26,0.203,0.477,0.13
"False",0.104,0.569,0.796,0.029
"False",0.183,0.85,0.871,0.099
"False",0.206,0.793,0.861,0.125
"False",0.089,0.47,0.636,0.018
"False",0.217,0.859,0.872,0.14
"False",0.109,0.243,0.284,0.018
